   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -11.37407 -11.37407 -11.37347 -11.37246 -11.37142 -11.37062 -11.37008 -11.36868
 -11.36614 -11.36380 -11.35926 -11.35115 -11.34187 -11.33507 -11.32651 -11.30738
 -11.27848 -11.23532 -11.16696 -11.06232 -10.90726 -10.69546 -10.43473 -10.12782
 -11.43851 -11.43939 -11.44015 -11.44086 -11.44158 -11.44211 -11.44175 -11.44134
 -11.44114 -11.43964 -11.43845 -11.43750 -11.43403 -11.42888 -11.42242 -11.41355
 -11.40047 -11.38096 -11.35097 -11.30323 -11.22941 -11.11885 -10.95949 -10.74846
 -11.47578 -11.48115 -11.48629 -11.49104 -11.49521 -11.49863 -11.50127 -11.50444
 -11.50831 -11.51063 -11.51250 -11.51450 -11.51534 -11.51541 -11.51514 -11.51423
 -11.51117 -11.50498 -11.49444 -11.47681 -11.44791 -11.40145 -11.32783 -11.21385
 -11.48030 -11.49306 -11.50548 -11.51702 -11.52711 -11.53590 -11.54497 -11.55407
 -11.56264 -11.57100 -11.57834 -11.58476 -11.59136 -11.59665 -11.60130 -11.60675
 -11.60983 -11.61024 -11.60894 -11.60480 -11.59640 -11.58086 -11.55302 -11.50323
 -11.49556 -11.51523 -11.53555 -11.55509 -11.57220 -11.58662 -11.60089 -11.61574
 -11.63041 -11.64392 -11.65739 -11.67043 -11.68109 -11.69123 -11.70177 -11.71172
 -11.71918 -11.72460 -11.72895 -11.73093 -11.73076 -11.72744 -11.71731 -11.69539
 -11.55619 -11.58088 -11.60616 -11.63061 -11.65265 -11.67186 -11.69036 -11.70946
 -11.72890 -11.74720 -11.76529 -11.78291 -11.79832 -11.81300 -11.82718 -11.83980
 -11.85083 -11.85996 -11.86687 -11.87224 -11.87547 -11.87579 -11.87259 -11.86246
